thoi_gian_KaNak,thoi_gian_AnKhe,Tổng lưu lượng xả (m³/s)[Thực tế],Lưu lượng đến hồ (m³/s),Sum_Mua
2019-10-02 00:00:00,2019-10-02 08:00:00,0.0,2.0,0.0
2019-10-02 01:00:00,2019-10-02 09:00:00,0.0,2.0,0.0
2019-10-02 02:00:00,2019-10-02 10:00:00,0.0,2.0,0.0
2019-10-02 03:00:00,2019-10-02 11:00:00,0.0,2.0,0.0
2019-10-02 04:00:00,2019-10-02 12:00:00,0.0,2.0,0.0
2019-10-02 05:00:00,2019-10-02 13:00:00,0.0,2.1,0.0
2019-10-02 06:00:00,2019-10-02 14:00:00,0.0,2.4,0.0
2019-10-02 07:00:00,2019-10-02 15:00:00,0.0,11.67,0.0
2019-10-02 08:00:00,2019-10-02 16:00:00,17.9,31.67,0.0
2019-10-02 09:00:00,2019-10-02 17:00:00,29.0,45.0,0.0
2019-10-02 10:00:00,2019-10-02 18:00:00,29.0,45.0,0.0
2019-10-02 11:00:00,2019-10-02 19:00:00,29.0,34.87,0.0
2019-10-02 12:00:00,2019-10-02 20:00:00,29.0,30.67,0.0
2019-10-02 13:00:00,2019-10-02 21:00:00,29.0,30.67,0.0
2019-10-02 14:00:00,2019-10-02 22:00:00,29.0,30.67,0.0
2019-10-02 15:00:00,2019-10-02 23:00:00,29.0,30.67,27.87999987602234
2019-10-02 16:00:00,2019-10-03 06:00:00,29.0,4.0,0.0
2019-10-02 17:00:00,2019-10-03 07:00:00,29.0,3.2,0.0
2019-10-03 00:00:00,2019-10-03 08:00:00,0.0,3.2,0.0
2019-10-03 01:00:00,2019-10-03 09:00:00,0.0,3.2,0.0
2019-10-03 02:00:00,2019-10-03 10:00:00,0.0,3.2,0.0
2019-10-03 03:00:00,2019-10-03 11:00:00,0.0,3.2,0.0
2019-10-03 04:00:00,2019-10-03 12:00:00,0.0,3.2,0.0
2019-10-03 05:00:00,2019-10-03 13:00:00,0.0,3.3,0.0
2019-10-03 06:00:00,2019-10-03 14:00:00,0.0,3.3,0.0
2019-10-03 07:00:00,2019-10-03 15:00:00,0.0,3.3,0.0
2019-10-03 08:00:00,2019-10-03 16:00:00,0.0,3.98,0.0
2019-10-03 09:00:00,2019-10-03 17:00:00,0.0,5.0,0.0
2019-10-03 10:00:00,2019-10-03 18:00:00,0.0,11.67,0.0
2019-10-03 11:00:00,2019-10-03 19:00:00,0.0,11.68,0.0
2019-10-03 12:00:00,2019-10-03 20:00:00,0.0,10.67,0.0
2019-10-03 13:00:00,2019-10-03 21:00:00,0.0,11.38,0.0
2019-10-03 14:00:00,2019-10-03 22:00:00,0.0,25.0,0.0
2019-10-03 15:00:00,2019-10-03 23:00:00,0.0,33.47,0.0
2019-10-03 16:00:00,2019-10-04 06:00:00,14.0,11.22,17.53000020980835
2019-10-03 17:00:00,2019-10-04 07:00:00,29.0,4.0,8.109999895095825
2019-10-04 00:00:00,2019-10-04 08:00:00,0.0,5.18,0.0
2019-10-04 01:00:00,2019-10-04 09:00:00,0.0,5.09,0.0
2019-10-04 02:00:00,2019-10-04 10:00:00,0.0,4.29,0.0
2019-10-04 03:00:00,2019-10-04 11:00:00,0.0,5.12,0.0
2019-10-04 04:00:00,2019-10-04 12:00:00,0.0,3.8,0.0
2019-10-04 05:00:00,2019-10-04 13:00:00,0.0,3.8,0.0
2019-10-04 06:00:00,2019-10-04 14:00:00,0.0,4.82,0.0
2019-10-04 07:00:00,2019-10-04 15:00:00,0.0,14.2,0.0
2019-10-04 08:00:00,2019-10-04 16:00:00,15.9,25.0,0.0
2019-10-04 09:00:00,2019-10-04 17:00:00,29.0,25.0,0.0
2019-10-04 10:00:00,2019-10-04 18:00:00,29.0,10.56,0.0
2019-10-04 11:00:00,2019-10-04 19:00:00,6.5,5.16,0.0
2019-10-04 12:00:00,2019-10-04 20:00:00,0.0,4.0,0.0
2019-10-04 13:00:00,2019-10-04 21:00:00,0.0,26.42,0.0
2019-10-04 14:00:00,2019-10-04 22:00:00,23.2,30.92,0.0
2019-10-04 15:00:00,2019-10-04 23:00:00,29.0,32.89,0.0
2019-10-04 16:00:00,2019-10-05 06:00:00,29.0,4.0,0.0
2019-10-04 17:00:00,2019-10-05 07:00:00,29.0,3.2,0.0
2019-10-05 00:00:00,2019-10-05 08:00:00,0.0,4.0,0.0
2019-10-05 01:00:00,2019-10-05 09:00:00,0.0,4.0,0.0
2019-10-05 02:00:00,2019-10-05 10:00:00,0.0,4.0,0.0
2019-10-05 03:00:00,2019-10-05 11:00:00,0.0,4.0,0.0
2019-10-05 04:00:00,2019-10-05 12:00:00,0.0,4.0,0.0
2019-10-05 05:00:00,2019-10-05 13:00:00,0.0,3.15,0.0
2019-10-05 06:00:00,2019-10-05 14:00:00,0.0,3.15,0.0
2019-10-05 07:00:00,2019-10-05 15:00:00,0.0,3.15,0.0
2019-10-05 08:00:00,2019-10-05 16:00:00,0.0,3.15,0.0
2019-10-05 09:00:00,2019-10-05 17:00:00,0.0,3.15,0.0
2019-10-05 10:00:00,2019-10-05 18:00:00,0.0,3.15,0.0
2019-10-05 11:00:00,2019-10-05 19:00:00,0.0,2.86,0.0
2019-10-05 12:00:00,2019-10-05 20:00:00,0.0,2.87,0.0
2019-10-05 13:00:00,2019-10-05 21:00:00,0.0,2.83,0.0
2019-10-05 14:00:00,2019-10-05 22:00:00,0.0,2.83,0.0
2019-10-05 15:00:00,2019-10-05 23:00:00,0.0,2.0,0.0
2019-10-05 16:00:00,2019-10-06 06:00:00,0.0,2.0,0.0
2019-10-05 17:00:00,2019-10-06 07:00:00,0.0,2.3,0.0
2019-10-06 00:00:00,2019-10-06 08:00:00,0.0,2.3,0.0
2019-10-06 01:00:00,2019-10-06 09:00:00,0.0,2.3,0.0
2019-10-06 02:00:00,2019-10-06 10:00:00,0.0,2.3,0.0
2019-10-06 03:00:00,2019-10-06 11:00:00,0.0,2.3,0.0
2019-10-06 04:00:00,2019-10-06 12:00:00,0.0,2.3,0.0
2019-10-06 05:00:00,2019-10-06 13:00:00,0.0,1.97,0.0
2019-10-06 06:00:00,2019-10-06 14:00:00,0.0,1.97,0.0
2019-10-06 07:00:00,2019-10-06 15:00:00,0.0,1.97,0.0
2019-10-06 08:00:00,2019-10-06 16:00:00,0.0,1.97,0.0
2019-10-06 09:00:00,2019-10-06 17:00:00,0.0,1.85,0.0
