LVS/Hồ chứa/Ngày,Giờ_KaNak,Giờ_AnKhe,Tổng lưu lượng xả (m³/s)[Thực tế],Lưu lượng đến hồ (m³/s)
2019-10-02,0,6,0.0,2.15
2019-10-02,1,7,0.0,2.06
2019-10-02,2,8,0.0,2.0
2019-10-02,3,9,0.0,2.0
2019-10-02,4,10,0.0,2.0
2019-10-02,5,11,0.0,2.0
2019-10-02,6,12,0.0,2.0
2019-10-02,7,13,0.0,2.1
2019-10-02,8,14,17.9,2.4
2019-10-02,9,15,29.0,11.67
2019-10-02,10,16,29.0,31.67
2019-10-02,11,17,29.0,45.0
2019-10-02,12,18,29.0,45.0
2019-10-02,13,19,29.0,34.87
2019-10-02,14,20,29.0,30.67
2019-10-02,15,21,29.0,30.67
2019-10-02,16,22,29.0,30.67
2019-10-02,17,23,29.0,30.67
2019-10-03,0,6,0.0,4.0
2019-10-03,1,7,0.0,3.2
2019-10-03,2,8,0.0,3.2
2019-10-03,3,9,0.0,3.2
2019-10-03,4,10,0.0,3.2
2019-10-03,5,11,0.0,3.2
2019-10-03,6,12,0.0,3.2
2019-10-03,7,13,0.0,3.3
2019-10-03,8,14,0.0,3.3
2019-10-03,9,15,0.0,3.3
2019-10-03,10,16,0.0,3.98
2019-10-03,11,17,0.0,5.0
2019-10-03,12,18,0.0,11.67
2019-10-03,13,19,0.0,11.68
2019-10-03,14,20,0.0,10.67
2019-10-03,15,21,0.0,11.38
2019-10-03,16,22,14.0,25.0
2019-10-03,17,23,29.0,33.47
2019-10-04,0,6,0.0,11.22
2019-10-04,1,7,0.0,4.0
2019-10-04,2,8,0.0,5.18
2019-10-04,3,9,0.0,5.09
2019-10-04,4,10,0.0,4.29
2019-10-04,5,11,0.0,5.12
2019-10-04,6,12,0.0,3.8
2019-10-04,7,13,0.0,3.8
2019-10-04,8,14,15.9,4.82
2019-10-04,9,15,29.0,14.2
2019-10-04,10,16,29.0,25.0
2019-10-04,11,17,6.5,25.0
2019-10-04,12,18,0.0,10.56
2019-10-04,13,19,0.0,5.16
2019-10-04,14,20,23.2,4.0
2019-10-04,15,21,29.0,26.42
2019-10-04,16,22,29.0,30.92
2019-10-04,17,23,29.0,32.89
2019-10-05,0,6,0.0,4.0
2019-10-05,1,7,0.0,3.2
2019-10-05,2,8,0.0,4.0
2019-10-05,3,9,0.0,4.0
